Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15442350,y_kai_zz,"2026-05-21 14:25:22",0.86892,171,ykaizz
2,15731754,botingchen,"2026-05-23 05:40:40",0.86882,127,boting16
3,15469454,Barkleygrandma,"2026-05-22 13:58:20",0.86626,70,barkleygrandma
4,15456126,CheWei0118,"2026-05-22 14:39:50",0.86147,290,chewei0118
5,15492554,sung02,"2026-05-23 04:48:33",0.86127,46,sung02
6,15442925,Tsai,"2026-05-23 06:09:16",0.85750,207,iacon0403
7,15731789,"Chen,KunHan","2026-05-22 18:37:58",0.85539,115,chenkunhan
0,15798363,我只是一隻史萊姆，利姆路・坦派斯特，也是八星魔王之一,"2026-04-03 04:22:21",0.85244,1,
8,15446330,ian05012,"2026-05-19 02:10:29",0.79859,92,ian05012
0,15587849,請你轉達那位勇者，你前方的道路將被開闢，由我這位人類最強的南方勇者，就算我的偉業終將被歷史埋沒。,"2026-04-03 04:21:53",0.71807,1,
9,15507495,"BÙI MINH NGUYÊN","2026-04-16 08:21:50",0.71039,45,juumonji
10,15407669,"Julia Chou TMU","2026-05-22 13:22:56",0.71034,117,juliachoutmu
11,15411165,LinJingZhi,"2026-05-21 01:02:14",0.70407,76,linjingzhi
12,15442970,"Hao-Quan Liu","2026-05-23 09:58:46",0.69773,295,haoquan291
13,15442521,Rich921222,"2026-05-21 04:55:05",0.69289,131,rich921222
14,15378028,"Lu,Wei-Ting","2026-05-03 05:22:25",0.69131,47,luweiting
15,15535454,wilson052755,"2026-05-20 08:12:28",0.68975,28,wilson052755
16,15399097,TMU洪姍姍,"2026-04-21 22:38:19",0.68369,27,hungshanshan
17,15478822,"Jack Chang5216","2026-05-09 11:44:13",0.68365,49,jackchang5216
18,15595171,Radimon,"2026-05-22 17:49:50",0.67640,155,radimon
19,15562749,郭重佑4112056024,"2026-05-14 15:59:01",0.67151,3,s114056024
20,15883103,AllenIsMe,"2026-05-09 09:27:31",0.66590,2,allenisme
21,15863010,"TMU HSUYEN","2026-05-05 14:54:32",0.66453,1,tmuhsuyen
22,15387618,"TMU-Chung,Yi-Cheng","2026-04-23 03:32:01",0.66273,68,tmuchungyicheng
23,15380962,TMU_KEN_HONG,"2026-05-13 13:56:28",0.66165,49,tmukenhong
24,15470093,TMU陳麒兆,"2026-04-14 06:07:07",0.65952,39,tmuchichao
25,15443401,andy19588,"2026-05-20 12:16:58",0.65861,115,andy19588
26,15380715,"Lai Yu-Hsin","2026-04-21 07:36:58",0.65576,63,auronlai
27,15437552,"NGUYEN THUAN PHAT TMU","2026-05-21 02:45:58",0.65534,23,nguyenthuanphattmu
28,15777956,NNNNNNZ,"2026-05-13 07:52:07",0.65534,50,nnnnzz
29,15386692,LizChia,"2026-04-29 05:12:05",0.65445,39,lizchia
30,15490663,TMUfutong,"2026-05-21 11:16:21",0.65052,19,tmufutong
31,15421197,teresa00000,"2026-05-14 15:55:57",0.64927,23,teresa00000
32,15607213,"(TMU)Joanna Yu","2026-05-22 07:31:29",0.64902,26,tmujoannayu
33,15386288,"SEPTI MELISA","2026-04-24 11:43:09",0.64879,15,septimelisatmu
34,15623048,Moeta_034,"2026-05-20 15:09:06",0.64878,91,moeta034
35,15380809,nguyenminhtri1311,"2026-05-16 17:52:56",0.64803,46,nguyenminhtri1311
0,15720867,Baseline,"2025-04-17 03:46:25",0.64763,1,
36,16054864,popoaa,"2026-05-23 09:42:54",0.64725,3,popoaa
37,15386796,Hao,"2026-05-23 09:43:33",0.64725,47,chenhaotmu
38,15852930,PongPong,"2026-05-23 10:26:38",0.64596,27,pongpong1027
39,15466471,Hsing,"2026-05-08 07:00:05",0.64508,23,ychsing
40,15490242,TMU_菲菲,"2026-05-20 16:19:56",0.64445,26,paromitapramaniktmu
41,15470094,TMU廖恩孝,"2026-04-03 14:12:30",0.64383,1,tmug658114004
42,15477068,sssh27,"2026-05-23 06:01:57",0.64255,7,sssh27
43,15386338,"PHAM DOAN NGOC TUAN","2026-05-12 03:48:55",0.64253,24,phamdoanngoctuan
44,15597422,TMU_G969114005,"2026-04-11 13:37:14",0.64103,1,tmug969114005
45,15659279,"Kaiting Wu","2026-05-23 09:59:17",0.63974,32,kaitingwu
46,15386284,"UTKARSHA NAITHANI TMU","2026-05-22 19:05:27",0.63955,22,utkarshanaithanitmu
47,15379742,pharm45968,"2026-05-19 08:35:46",0.63785,83,o903112009
48,15389302,YU,"2026-05-23 07:44:19",0.62822,37,maomaoooooo
49,15519254,YaChuYou,"2026-04-01 03:28:47",0.62593,1,yachuyou
50,15470151,yun,"2026-03-29 15:34:47",0.62213,23,yunzhuang
51,15386295,"NGUYEN THI KIM HIEN SNHS","2026-04-11 07:49:53",0.60733,12,nguyenthikimhiensnhs
52,15735144,harrisonchiu4,"2026-05-21 14:42:52",0.60721,30,harrisonchiu4
53,15445920,ChouYushu,"2026-04-28 08:01:17",0.60629,27,ysss91
54,15515804,TMU_6QQ,"2026-04-26 12:47:55",0.59859,1,tmu6qq
55,15437533,"Yung-Chun Chang","2026-04-09 13:48:07",0.59757,15,temping
56,15437561,"Bryan Edbert Mulyono","2026-05-22 05:15:34",0.58270,5,bryanedbertm
