row_id,fold
0,4
1,4
2,4
3,4
4,4
5,2
6,2
7,3
8,0
9,4
10,2
11,3
12,3
13,2
14,0
15,3
16,2
17,3
18,2
19,2
20,2
21,2
22,1
23,1
24,4
25,4
26,1
27,2
28,4
29,1
30,2
31,0
32,0
33,1
34,2
35,3
36,0
37,4
38,4
39,0
40,1
41,2
42,0
43,1
44,4
45,2
46,3
47,0
48,1
49,0
50,2
51,3
52,0
53,0
54,3
55,1
56,1
57,1
58,3
59,2
60,4
61,1
62,2
63,3
64,3
65,2
66,1
67,4
68,3
69,2
70,4
71,2
72,2
73,3
74,3
75,3
76,4
77,0
78,0
79,4
80,4
81,2
82,2
83,1
84,4
85,1
86,2
87,0
88,3
89,2
90,4
91,4
92,1
93,0
94,0
95,3
96,4
97,3
98,3
99,2
100,1
101,3
102,0
103,1
104,4
105,3
106,3
107,2
108,3
109,4
110,4
111,0
112,1
113,2
114,4
115,4
116,1
117,0
118,4
119,0
120,0
121,4
122,2
123,3
124,3
125,2
126,0
127,3
128,1
129,1
130,1
131,1
132,0
133,2
134,3
135,2
136,0
137,0
138,1
139,1
140,2
141,4
142,3
143,1
144,3
145,4
146,0
147,2
148,0
149,4
150,3
151,1
152,0
153,1
154,2
155,2
156,1
157,3
158,0
159,4
160,4
161,2
162,3
163,3
164,0
165,1
166,4
167,0
168,4
169,0
170,3
171,3
172,3
173,1
174,3
175,0
176,2
177,1
178,2
179,3
180,4
181,4
182,4
183,1
184,2
185,0
186,3
187,3
188,4
189,2
190,0
191,1
192,0
193,3
194,3
195,3
196,4
197,2
198,0
199,4
200,4
201,1
202,4
203,4
204,0
205,4
206,3
207,0
208,1
209,3
210,2
211,3
212,2
213,2
214,3
215,4
216,2
217,2
218,4
219,0
220,1
221,2
222,0
223,1
224,4
225,1
226,1
227,2
228,0
229,4
230,0
231,3
232,3
233,2
234,2
235,0
236,4
237,0
238,1
239,4
240,1
241,2
242,3
243,4
244,0
245,1
246,1
247,2
248,1
249,3
250,3
251,0
252,4
253,4
254,4
255,2
256,2
257,4
258,0
259,0
260,0
261,4
262,1
263,4
264,3
265,4
266,0
267,3
268,0
269,3
270,0
271,1
272,0
273,2
274,2
275,2
276,3
277,2
278,4
279,3
280,3
281,1
282,4
283,1
284,0
285,2
286,4
287,0
288,4
289,1
290,3
291,2
292,0
293,4
294,3
295,1
296,4
297,2
298,2
299,1
300,1
301,0
302,2
303,1
304,0
305,0
306,4
307,0
308,2
309,3
310,1
311,2
312,2
313,2
314,2
315,4
316,3
317,1
318,0
319,0
320,1
321,3
322,2
323,0
324,4
325,4
326,4
327,0
328,4
329,0
330,1
331,2
332,2
333,2
334,0
335,0
336,4
337,3
338,2
339,1
340,2
341,3
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,3
350,4
351,2
352,4
353,3
354,2
355,2
356,0
357,4
358,2
359,2
360,2
361,4
362,1
363,1
364,4
365,2
366,0
367,4
368,2
369,0
370,3
371,1
372,1
373,2
374,1
375,3
376,1
377,3
378,4
379,2
380,4
381,0
382,1
383,2
384,1
385,0
386,3
387,3
388,2
389,1
390,1
391,3
392,3
393,4
394,0
395,2
396,4
397,0
398,4
399,0
400,4
401,2
402,1
403,0
404,2
405,4
406,4
407,2
408,4
409,3
410,1
411,0
412,0
413,4
414,2
415,4
416,3
417,3
418,1
419,3
420,4
421,0
422,0
423,3
424,4
425,1
426,1
427,3
428,4
429,2
430,0
431,0
432,0
433,0
434,0
435,0
436,2
437,4
438,4
439,4
440,0
441,3
442,3
443,2
444,0
445,2
446,2
447,4
448,0
449,3
450,4
451,4
452,4
453,0
454,4
455,4
456,0
457,3
458,4
459,2
460,0
461,0
462,2
463,1
464,3
465,0
466,3
467,0
468,4
469,0
470,2
471,1
472,0
473,4
474,4
475,2
476,3
477,4
478,4
479,2
480,3
481,2
482,3
483,2
484,4
485,1
486,0
487,2
488,0
489,1
490,4
491,3
492,4
493,0
494,3
495,3
496,1
497,0
498,4
499,1
500,2
501,0
502,0
503,2
504,0
505,1
506,3
507,3
508,0
509,1
510,4
511,1
512,0
513,3
514,1
515,1
516,4
517,1
518,2
519,2
520,2
521,1
522,4
523,4
524,1
525,2
526,2
527,0
528,0
529,0
530,3
531,0
532,1
533,3
534,3
535,2
536,4
537,2
538,2
539,4
540,0
541,1
542,3
543,3
544,2
545,1
546,0
547,0
548,3
549,2
550,3
551,1
552,0
553,2
554,2
555,0
556,3
557,3
558,1
559,2
560,3
561,4
562,2
563,0
564,1
565,0
566,2
567,4
568,4
569,2
570,1
571,3
572,2
573,4
574,3
575,0
576,3
577,4
578,3
579,4
580,3
581,3
582,1
583,4
584,1
585,0
586,0
587,1
588,3
589,4
590,2
591,4
592,4
593,2
594,3
595,4
596,1
597,1
598,3
599,3
600,3
601,2
602,3
603,1
604,3
605,1
606,1
607,2
608,1
609,3
610,4
611,2
612,2
613,0
614,2
615,4
616,2
617,3
618,1
619,0
620,3
621,1
622,1
623,3
624,2
625,3
626,0
627,0
628,2
629,3
630,4
631,2
632,0
633,1
634,1
635,1
636,2
637,3
638,3
639,0
640,2
641,4
642,0
643,1
644,2
645,4
646,3
647,1
648,3
649,2
650,4
651,3
652,2
653,1
654,1
655,0
656,4
657,3
658,0
659,2
660,1
661,3
662,2
663,1
664,4
665,3
666,2
667,0
668,2
669,4
670,2
671,3
672,3
673,1
674,2
675,3
676,2
677,0
678,0
679,1
680,1
681,1
682,0
683,3
684,1
685,0
686,1
687,0
688,0
689,0
690,4
691,3
692,0
693,1
694,1
695,3
696,2
697,0
698,2
699,3
700,2
701,4
702,4
703,0
704,2
705,3
706,4
707,2
708,3
709,4
710,0
711,1
712,3
713,3
714,0
715,4
716,2
717,4
718,1
719,3
720,4
721,4
722,3
723,2
724,1
725,0
726,3
727,1
728,4
729,1
730,0
731,1
732,0
733,3
734,0
735,3
736,3
737,0
738,2
739,0
740,1
741,2
742,4
743,1
744,0
745,2
746,3
747,1
748,4
749,0
750,2
751,0
752,2
753,2
754,0
755,2
756,1
757,4
758,2
759,4
760,0
761,2
762,3
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,3
771,1
772,4
773,4
774,4
775,3
776,3
777,0
778,3
779,3
780,3
781,3
782,4
783,3
784,3
785,1
786,0
787,3
788,2
789,2
790,4
791,3
792,3
793,1
794,1
795,1
796,2
797,1
798,4
799,1
800,4
801,4
802,0
803,0
804,4
805,1
806,1
807,3
808,3
809,2
810,3
811,3
812,3
813,1
814,2
815,3
816,1
817,0
818,0
819,3
820,1
821,3
822,2
823,4
824,1
825,3
826,1
827,4
828,4
829,3
830,4
831,3
832,4
833,1
834,0
835,0
836,4
837,0
838,4
839,4
840,2
841,2
842,0
843,4
844,4
845,0
846,4
847,4
848,1
849,2
850,0
851,3
852,3
853,3
854,1
855,3
856,4
857,4
858,1
859,0
860,0
861,4
862,3
863,1
864,4
865,2
866,0
867,2
868,4
869,2
870,2
871,1
872,4
873,0
874,1
875,0
876,4
877,2
878,4
879,0
880,1
881,3
882,4
883,2
884,3
885,2
886,1
887,4
888,1
889,1
890,1
891,2
892,0
893,0
894,4
895,3
896,3
897,1
898,1
899,3
900,2
901,2
902,4
903,0
904,0
905,1
906,3
907,4
908,0
909,3
910,2
911,3
912,1
913,4
914,2
915,0
916,0
917,4
918,3
919,4
920,3
921,0
922,3
923,1
924,0
925,3
926,1
927,1
928,3
929,0
930,3
931,4
932,1
933,3
934,3
935,2
936,2
937,4
938,1
939,0
940,2
941,2
942,3
943,1
944,1
945,4
946,2
947,3
948,0
949,4
950,3
951,1
952,4
953,0
954,3
955,3
956,0
957,3
958,3
959,4
960,2
961,4
962,2
963,3
964,2
965,2
966,0
967,1
968,1
969,0
970,1
971,1
972,1
973,2
974,2
975,2
976,1
977,1
978,3
979,1
980,0
981,3
982,3
983,2
984,4
985,3
986,3
987,3
988,2
989,4
990,1
991,1
992,3
993,0
994,4
995,4
996,0
997,0
998,3
999,0
1000,0
1001,4
1002,0
1003,4
1004,4
1005,3
1006,1
1007,1
1008,0
1009,3
1010,2
1011,2
1012,4
1013,1
1014,4
1015,3
1016,3
1017,4
1018,4
1019,2
1020,3
1021,0
1022,3
1023,3
1024,2
1025,2
1026,1
1027,4
1028,4
1029,4
1030,0
1031,1
1032,1
1033,3
1034,4
1035,4
1036,2
1037,0
1038,4
1039,4
1040,3
1041,0
1042,1
1043,2
1044,1
1045,0
1046,3
1047,3
1048,3
1049,4
1050,0
1051,0
1052,4
1053,0
1054,4
1055,1
1056,3
1057,2
1058,3
1059,2
1060,4
1061,0
1062,1
1063,0
1064,1
1065,4
1066,2
1067,0
1068,4
1069,3
1070,1
1071,0
1072,3
1073,0
1074,2
1075,1
1076,1
1077,3
1078,1
1079,3
1080,4
1081,1
1082,3
1083,3
1084,1
1085,0
1086,0
1087,3
1088,1
1089,0
1090,2
1091,0
1092,4
1093,2
1094,2
1095,3
1096,3
1097,3
1098,2
1099,1
1100,4
1101,2
1102,3
1103,3
1104,0
1105,2
1106,1
1107,2
1108,2
1109,4
1110,1
1111,4
1112,1
1113,2
1114,4
1115,4
1116,2
1117,0
1118,4
1119,4
1120,3
1121,2
1122,0
1123,0
1124,0
1125,0
1126,2
1127,1
1128,4
1129,0
1130,2
1131,0
1132,0
1133,0
1134,4
1135,3
1136,3
1137,0
1138,3
1139,0
1140,2
1141,3
1142,3
1143,2
1144,1
1145,4
1146,1
1147,0
1148,3
1149,0
1150,0
1151,1
1152,2
1153,0
1154,3
1155,3
1156,0
1157,3
1158,1
1159,0
1160,3
1161,3
1162,4
1163,3
1164,1
1165,2
1166,3
1167,4
1168,2
1169,2
1170,0
1171,1
1172,2
1173,2
1174,4
1175,4
1176,3
1177,2
1178,0
1179,3
1180,0
1181,2
1182,4
1183,0
1184,4
1185,0
1186,3
1187,4
1188,0
1189,1
1190,2
1191,1
1192,4
1193,1
1194,1
1195,0
1196,1
1197,4
1198,1
1199,0
1200,2
1201,1
1202,0
1203,2
1204,0
1205,4
1206,3
1207,4
1208,2
1209,0
1210,2
1211,2
1212,2
1213,4
1214,1
1215,3
1216,2
1217,1
1218,4
1219,0
1220,1
1221,2
1222,1
1223,3
1224,0
1225,2
1226,0
1227,1
